Probability of fire spreading, Average percent burned, Average times burned
0.000000 , 0.000000 , 2.000000
0.010000 , 0.000008 , 2.048000
0.020000 , 0.000012 , 2.073600
0.030000 , 0.000026 , 2.155200
0.040000 , 0.000035 , 2.203200
0.050000 , 0.000031 , 2.195200
0.060000 , 0.000042 , 2.252800
0.070000 , 0.000054 , 2.304000
0.080000 , 0.000070 , 2.404800
0.090000 , 0.000074 , 2.414400
0.100000 , 0.000096 , 2.521600
0.110000 , 0.000110 , 2.595200
0.120000 , 0.000114 , 2.628800
0.130000 , 0.000126 , 2.686400
0.140000 , 0.000153 , 2.772800
0.150000 , 0.000183 , 2.902400
0.160000 , 0.000169 , 2.889600
0.170000 , 0.000198 , 2.996800
0.180000 , 0.000229 , 3.075200
0.190000 , 0.000272 , 3.268800
0.200000 , 0.000293 , 3.318400
0.210000 , 0.000346 , 3.558400
0.220000 , 0.000335 , 3.494400
0.230000 , 0.000370 , 3.688000
0.240000 , 0.000438 , 3.857600
0.250000 , 0.000432 , 3.768000
0.260000 , 0.000516 , 4.110400
0.270000 , 0.000703 , 4.708800
0.280000 , 0.000712 , 4.616000
0.290000 , 0.000859 , 5.051200
0.300000 , 0.000974 , 5.350400
0.310000 , 0.001070 , 5.710400
0.320000 , 0.001104 , 5.670400
0.330000 , 0.001230 , 6.020800
0.340000 , 0.001496 , 6.569600
0.350000 , 0.001893 , 7.430400
0.360000 , 0.002449 , 8.217600
0.370000 , 0.002697 , 8.686400
0.380000 , 0.003050 , 9.152000
0.390000 , 0.004130 , 11.212800
0.400000 , 0.004839 , 12.008000
0.410000 , 0.006945 , 14.843200
0.420000 , 0.009037 , 16.409600
0.430000 , 0.011400 , 18.876800
0.440000 , 0.015665 , 23.331200
0.450000 , 0.020679 , 26.651200
0.460000 , 0.037496 , 37.428800
0.470000 , 0.056190 , 46.444800
0.480000 , 0.114460 , 67.212800
0.490000 , 0.163017 , 81.465600
0.500000 , 0.272742 , 104.080000
0.510000 , 0.395657 , 121.899200
0.520000 , 0.531273 , 131.622400
0.530000 , 0.627390 , 130.126400
0.540000 , 0.686729 , 119.668800
0.550000 , 0.757017 , 113.657600
0.560000 , 0.791125 , 105.195200
0.570000 , 0.840542 , 103.364800
0.580000 , 0.828015 , 95.883200
0.590000 , 0.866937 , 94.841600
0.600000 , 0.890811 , 92.705600
0.610000 , 0.904475 , 90.264000
0.620000 , 0.916587 , 89.064000
0.630000 , 0.927422 , 87.680000
0.640000 , 0.937300 , 86.900800
0.650000 , 0.943509 , 85.308800
0.660000 , 0.957155 , 85.380800
0.670000 , 0.966870 , 85.033600
0.680000 , 0.955708 , 83.251200
0.690000 , 0.975600 , 84.188800
0.700000 , 0.971667 , 83.363200
0.710000 , 0.976903 , 83.188800
0.720000 , 0.984846 , 83.316800
0.730000 , 0.989570 , 83.350400
0.740000 , 0.983042 , 82.433600
0.750000 , 0.988975 , 82.744000
0.760000 , 0.986830 , 82.225600
0.770000 , 0.992487 , 82.508800
0.780000 , 0.996457 , 82.678400
0.790000 , 0.993860 , 82.300800
0.800000 , 0.995964 , 82.409600
0.810000 , 0.998056 , 82.441600
0.820000 , 0.998423 , 82.376000
0.830000 , 0.998698 , 82.297600
0.840000 , 0.997413 , 82.094400
0.850000 , 0.997634 , 82.068800
0.860000 , 0.999415 , 82.147200
0.870000 , 0.999565 , 82.128000
0.880000 , 0.999671 , 82.083200
0.890000 , 0.999763 , 82.064000
0.900000 , 0.999834 , 82.073600
0.910000 , 0.998288 , 81.924800
0.920000 , 0.999927 , 82.046400
0.930000 , 0.999951 , 82.035200
0.940000 , 0.999971 , 82.025600
0.950000 , 0.999985 , 82.019200
0.960000 , 0.999993 , 82.003200
0.970000 , 0.999997 , 82.004800
0.980000 , 0.999999 , 82.003200
0.990000 , 1.000000 , 82.000000
1.000000 , 1.000000 , 82.000000
Firestarter took 61.877199

